,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,52,5,5,5,2,6,17,2,5,1
11,0,0,0,0,0,0,0,0,0,0,4,70,2,1,3,7,8,1,1,3
12,0,0,0,0,0,0,0,0,0,0,2,0,70,14,1,5,0,2,4,2
13,0,0,0,0,0,0,0,0,0,0,4,1,5,76,2,1,4,5,2,0
14,0,0,0,0,0,0,0,0,0,0,5,6,0,2,65,1,6,0,9,6
15,0,0,0,0,0,0,0,0,0,0,3,6,3,2,3,67,1,4,3,8
16,0,0,0,0,0,0,0,0,0,0,10,8,1,3,0,2,69,0,6,1
17,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,5,1,81,0,3
18,0,0,0,0,0,0,0,0,0,0,5,2,1,3,8,5,1,0,72,3
19,0,0,0,0,0,0,0,0,0,0,4,7,3,6,7,13,3,1,6,50
