,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,94,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
1,1,81,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
2,3,1,59,0,0,1,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,1,10,0,0,0,0,1,1,0,0,0,2,4,0,0,0
3,0,0,0,48,13,0,2,1,0,0,0,0,0,1,0,2,0,0,1,2,0,6,0,0,0,1,1,0,0,1,2,7,0,0,1,1,3,0,0,0,0,0,3,2,0,1,1,0,0,0
4,0,0,0,3,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,4,0,2,0,1,1,2,0,1,2,0,4,0,0,0,8,2,2,1,0,0,0,0
5,0,1,0,0,0,64,0,0,1,0,0,0,0,2,0,0,1,0,0,0,7,0,0,0,0,16,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
6,0,1,0,0,2,0,73,6,0,0,0,0,0,0,2,0,0,0,3,0,0,1,0,0,4,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0
7,0,1,1,0,0,0,4,67,0,0,0,0,0,0,7,0,0,0,3,0,1,0,0,0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0
8,0,0,0,0,0,0,1,1,77,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,2,0,0,4,1,0,5,0
9,0,0,0,0,1,0,0,0,0,85,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0
10,6,2,3,0,0,2,0,0,0,0,59,0,0,0,0,0,4,0,1,0,1,0,5,1,0,0,2,0,4,0,0,0,1,0,0,0,1,0,0,0,2,1,2,1,1,1,0,0,0,0
11,0,0,16,1,2,0,0,0,0,0,0,36,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,17,1,1,1,0,0,0,0,0,1,0,18,0,0,0
12,0,0,0,1,0,0,0,0,0,1,0,0,74,2,0,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,8,0,0,1,0,1,1,0,0,0,0,1,0
13,0,0,1,0,0,1,0,0,0,0,0,0,7,77,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,1,0
14,0,3,2,1,2,1,4,4,0,0,0,0,0,0,64,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,1,0,4,0,2,0,0,1,1,0
15,0,0,0,4,2,0,0,0,0,1,0,1,0,0,0,63,0,1,0,2,0,0,1,0,0,0,2,1,0,1,0,5,0,0,1,2,1,1,5,0,2,0,0,1,1,0,2,0,0,0
16,2,0,0,0,0,5,0,0,1,3,5,0,0,1,0,0,70,0,0,0,2,0,4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1
18,1,1,1,0,1,1,2,1,0,0,0,0,1,0,3,0,0,0,66,0,0,0,0,0,0,1,1,3,0,0,1,0,1,4,0,0,0,1,1,1,1,0,0,0,5,2,0,0,0,0
