,0,1,2,3,4,5,6,7,8,9
0,734,20,10,4,6,14,13,22,158,19
1,13,865,0,0,0,6,4,5,54,53
2,82,7,465,7,43,179,103,74,35,5
3,31,6,19,159,22,473,130,90,61,9
4,20,2,36,6,529,104,94,187,21,1
5,7,1,4,9,15,857,18,73,14,2
6,7,1,6,5,9,53,885,14,18,2
7,10,2,3,2,6,58,4,902,11,2
8,22,6,0,1,0,5,4,6,947,9
9,23,79,2,0,1,12,5,26,60,792
